likes,reposts,views,comments,attachments,text,movie,director,year,additional_info,oscar_winner,oscar_nominee,palme_winner,globe_winner,movie_flg,log_likes,log_reposts,log_views,log_comments,reactions,ER,prize,other_award
163,167,18687,12,9,"«Жестокий Джек», 1986-1990 год. 
Режиссеры: Итано Итиро, Осаму Камидзё.",Жестокий Джек,"Итано Итиро, Осаму Камидзё",1986,- .,0.0,0.0,0.0,0.0,True,5.099866427824199,5.123963979403259,9.835636885627954,2.5649493574615367,342,1.830149301653556,0.0,0.0
250,62,10967,11,9,"«Большой куш», 2000 год. 
Режиссер: Гай Ричи.",Большой куш,Гай Ричи,2000,,0.0,0.0,0.0,0.0,True,5.525452939131784,4.143134726391533,9.30273722124215,2.4849066497880004,323,2.945199234065834,0.0,0.0
213,409,16491,3,9,"«Монахини из Сант-Арканджело», 1973 год. 
Режиссер: Доменико Паолелла.

1577 год. Настоятельница монастыря Сант-Арканджело тяжело больна. Решительная и расчетливая монахиня Джулия планирует стать следующей Матерью-Настоятельницей. Ее стремление править безраздельно и расширять влияние своей семьи в конечном итоге приводит к ужасным последствиям.

Это сардонический взгляд на политику и махинации католической церкви в целом и одного монастыря в частности. Антикатолические настроения в итальянских жанровых фильмах не являются чем-то необычным, но редко когда они выражались с такими нюансами как в данном фильме. Режиссеру удалось соблюсти баланс сочетая драму и эротическую интригу, добавив неотъемлемые аспекты присущие данному жанру: разного рода фетиши, заговоры и шокирующие сцены пыток. Каким-то образом все это работает и делает фильм одним из лучших представителей своего жанра.",Монахини из Сант-Арканджело,Доменико Паолелла,1973,"  . Настоятельница монастыря Сант-Арканджело тяжело больна. Решительная и расчетливая монахиня Джулия планирует стать следующей Матерью-Настоятельницей. Ее стремление править безраздельно и расширять влияние своей семьи в конечном итоге приводит к ужасным последствиям.Это сардонический взгляд на политику и махинации католической церкви в целом и одного монастыря в частности. Антикатолические настроения в итальянских жанровых фильмах не являются чем-то необычным, но редко когда они выражались с такими нюансами как в данном фильме. Режиссеру удалось соблюсти баланс сочетая драму и эротическую интригу, добавив неотъемлемые аспекты присущие данному жанру: разного рода фетиши, заговоры и шокирующие сцены пыток. Каким-то образом все это работает и делает фильм одним из лучших представителей своего жанра.",0.0,0.0,0.0,0.0,True,5.365976015021851,6.016157159698354,9.71063069382679,1.3862943611198906,625,3.789946031168516,0.0,0.0
106,57,14914,5,9,"«Красавчик Джонни», 1989 год. 
Режиссер: Уолтер Хилл.",Красавчик Джонни,Уолтер Хилл,1989,,0.0,0.0,0.0,0.0,True,4.672828834461906,4.060443010546419,9.61012269694885,1.791759469228055,168,1.1264583612712886,0.0,0.0
408,205,20745,10,9,"«Планета страха», 2007 год.
Режиссер: Роберт Родригес.",Планета страха,Роберт Родригес,2007,,0.0,0.0,0.0,0.0,True,6.013715156042802,5.327876168789581,9.940108735991773,2.3978952727983707,623,3.0031332851289467,0.0,0.0
244,94,15377,11,9,"«Малхолланд Драйв», 2001 год. 
Режиссер: Дэвид Линч.",Малхолланд Драйв,Дэвид Линч,2001,,0.0,0.0,0.0,0.0,True,5.501258210544727,4.553876891600541,9.640693195592126,2.4849066497880004,349,2.269623463614489,0.0,0.0
204,359,34007,8,9,"«Садист» // «Задира», 2001 год.
Режиссер: Ларри Кларк.

Сценарий фильма основан на книге, рассказывающей о событиях, произошедших во Флориде, США. Группа подростков сговорилась устранить общего друга, чье агрессивное поведение оказалось слишком пагубным для одного из молодых людей. 

«Садист» с продолжительными «вуайеристскими» кадрами был встречен обвинениями в безвкусной эксплуатации. Однако такой грубый стиль съемки направлен на раскрытие правды об аморальности молодежной культуры. «Вуайеристская» склонность Кларка напускать объектив на обнаженные фигуры всегда вызывала беспокойство у критиков (и это справедливо), но невозможно отрицать то, насколько точным может быть такой прием в демонстрации сознания персонажей. Через неприукрашенное изображение подростковой жизни фильм предлагает отрезвляющий комментарий о пренебрежении общества к данному вопросу и разрушительном воздействии давления со стороны сверстников.",Садист,Ларри Кларк,2001,"// «Задира»,  .Сценарий фильма основан на книге, рассказывающей о событиях, произошедших во Флориде, США. Группа подростков сговорилась устранить общего друга, чье агрессивное поведение оказалось слишком пагубным для одного из молодых людей. «Садист» с продолжительными «вуайеристскими» кадрами был встречен обвинениями в безвкусной эксплуатации. Однако такой грубый стиль съемки направлен на раскрытие правды об аморальности молодежной культуры. «Вуайеристская» склонность Кларка напускать объектив на обнаженные фигуры всегда вызывала беспокойство у критиков (и это справедливо), но невозможно отрицать то, насколько точным может быть такой прием в демонстрации сознания персонажей. Через неприукрашенное изображение подростковой жизни фильм предлагает отрезвляющий комментарий о пренебрежении общества к данному вопросу и разрушительном воздействии давления со стороны сверстников.",0.0,0.0,0.0,0.0,True,5.3230099791384085,5.886104031450156,10.434351070038629,2.19722457733622,571,1.6790660746316934,0.0,0.0
130,53,12095,4,9,"«Колдовство», 1996 год.
Режиссер: Эндрю Флеминг.",Колдовство,Эндрю Флеминг,1996,,0.0,0.0,0.0,0.0,True,4.875197323201151,3.9889840465642745,9.400630098419317,1.6094379124341005,187,1.5460934270359652,0.0,0.0
212,135,21006,3,9,"«Близость», 2004 год. 
Режиссер: Майк Николс.",Близость,Майк Николс,2004,,0.0,0.0,0.0,0.0,True,5.3612921657094255,4.912654885736052,9.95261099449568,1.3862943611198906,350,1.6661906122060361,0.0,0.0
707,267,24697,38,1,"«X», 2022 // «Пэрл», 2022 // «Максин XXX», 2024",X,,2022,"// «Пэрл»,  // «Максин XXX»,",0.0,0.0,0.0,0.0,True,6.56244409369372,5.5909869805108565,10.114477547677769,3.6635616461296463,1012,4.097663683848241,0.0,0.0
